Month	OP_UNIQUE_CARRIER	ARR_DELAY	CARRIER_DELAY	WEATHER_DELAY	NAS_DELAY	LATE_AIRCRAFT_DELAY
12	NK	-6				
4	WN	-7				
12	AS	24	0	0	24	0
4	WN	68	59	0	0	9
5	OO	-20				
12	DL	11				
9	AA	14				
4	DL	31	0	0	0	31
4	AA	16	0	0	16	0
8	G4	6				
8	MQ	-20				
9	B6	-21				
3	NK	-11				
12	UA	-26				
5	OO	-23				
1	AA	2				
3	OO	3				
12	OO	-11				
8	WN	-12				
8	OO	-6				
2	WN	-17				
10	HA	-11				
12	DL	-3				
3	WN	4				
4	OH	-8				
11	DL	-23				
7	AA	-19				
10	OH	4				
3	NK	28	1	0	27	0
1	HA	22	22	0	0	0
5	DL	-16				
12	AA	-3				
10	AA	0				
4	YX	-14				
3	UA	56	56	0	0	0
2	WN	21	0	0	5	16
10	WN	10				
4	MQ	-29				
3	UA	0				
2	DL	-29				
6	WN	56	52	0	0	4
11	G4	34	21	0	0	13
1	YX	-11				
12	OO	27	0	0	27	0
10	UA	-9				
10	OO	-15				
1	UA	28	28	0	0	0
11	DL	-12				
7	DL	-20				
6	UA	58	30	0	0	28
11	UA	1				
1	DL	19	0	0	19	0
9	WN	10				
6	AA	-16				
3	AA	-7				
11	AS	95	0	38	0	57
5	AA	-18				
6	WN	110	11	0	5	94
1	MQ	-17				
2	NK	-2				
12	DL	0				
2	AA	-7				
11	G4	-11				
8	WN	2				
6	MQ	-1				
3	UA	28	0	0	0	28
10	WN	22	0	0	0	22
4	YX	-30				
8	AA	-42				
4	WN	-6				
12	UA	-7				
5	WN	-8				
6	WN	105	45	0	0	60
4	MQ	3				
12	AS	-18				
1	WN	48	19	0	25	4
2	B6	1				
6	DL	4				
9	WN	24	7	0	0	17
10	UA	-18				
1	DL	-20				
11	AA	-17				
11	NK	7				
12	WN	20	20	0	0	0
4	WN	-13				
5	DL	-20				
10	DL	-13				
9	OO	-10				
7	WN	-9				
6	9E	-8				
8	B6	-23				
9	WN	2				
9	WN	-8				
4	DL	77	0	0	72	5
9	MQ	-11				
6	OO	8				
2	WN	-17				
1	YX	-22				
6	OO	1				
6	DL	25	0	0	25	0
6	MQ	6				
9	WN	10				
11	NK	-8				
4	YX	-7				
3	WN	-11				
2	AS	-16				
7	YX	-6				
1	DL	46	0	46	0	0
3	F9	-4				
1	YX	-1				
6	OO	29	0	0	0	29
1	OO	19	19	0	0	0
11	YX	-13				
9	WN	-12				
12	DL	6				
4	OO	-13				
9	AA	13				
9	UA	-10				
10	WN	17	0	0	17	0
3	DL	-23				
3	WN	-4				
8	WN	-8				
11	AS	20	0	10	10	0
7	DL	-13				
3	AS	119	40	0	0	79
4	YX	-15				
6	AS	-1				
7	AA	4				
4	AS	5				
12	NK	148	0	0	148	0
10	WN	10				
12	AA	10				
11	DL	-17				
1	AA	9				
10	DL	-8				
8	WN	-2				
11	YX	-9				
7	AA	-13				
4	DL	8				
3	AS	-30				
9	MQ	-2				
10	OO	-20				
1	WN	-25				
8	WN	-9				
10	B6	-27				
7	AA	-18				
1	WN	-22				
4	AS	0				
10	UA	-35				
2	AA	459	0	0	0	459
8	WN	9				
9	AA	-9				
4	YX	-21				
6	YX	-11				
2	AA	-3				
4	UA	17	0	0	17	0
4	UA	5				
9	B6	103	5	0	0	98
7	WN	90	0	0	0	90
5	9E	-18				
3	DL	9				
7	HA	3				
7	DL	148	0	0	148	0
12	UA	-19				
9	UA	-18				
5	YX	-9				
1	MQ	53	28	0	25	0
8	AA	-5				
1	B6	-2				
7	MQ	-17				
2	YX	-34				
1	WN	7				
1	OO	-11				
8	B6	24	0	0	24	0
6	WN	8				
3	MQ	379	200	175	4	0
11	AA	-15				
12	9E	-11				
7	DL	-11				
9	UA	-20				
8	AA	41	7	0	6	28
1	WN	-2				
5	WN	-12				
8	MQ	-5				
1	UA	64	64	0	0	0
10	OO	3				
11	OO	2				
12	UA	-26				
7	UA	7				
7	DL	-14				
5	UA	-14				
6	OO	-17				
10	WN	26	26	0	0	0
2	9E	-16				
8	F9	-20				
12	YX	-19				
9	OO	-32				
6	WN	4				
9	OO	-8				
10	F9	-32				
5	AS	54	0	0	14	40
7	UA	-13				
6	B6	25	6	0	0	19
8	WN	5				
11	F9	5				
6	AA	9				
7	DL	-43				
7	DL	-12				
3	WN	17	17	0	0	0
1	OO	-24				
8	WN	-3				
6	B6	153	0	0	153	0
11	AA	-13				
3	HA	43	29	0	0	14
7	UA	26	1	0	0	25
6	YX	-18				
3	WN	-15				
2	9E	48	0	0	48	0
11	YX	-15				
1	WN	30	0	0	30	0
11	AA	1				
6	OO	-9				
9	AA	-5				
9	WN	0				
4	DL	1				
4	OH	-2				
11	AA	-17				
8	YX	-16				
7	AA	-20				
9	DL	0				
3	OH	42	0	3	0	39
8	AA	90	78	0	12	0
4	9E	0				
9	WN	4				
11	AA	-31				
12	DL	-28				
5	OO	-8				
9	WN	29	29	0	0	0
10	WN	-16				
3	WN	3				
10	WN	-4				
1	F9	-27				
10	AS	-11				
3	MQ	90	0	0	0	90
9	DL	-13				
9	WN	2				
8	DL	-16				
6	YX	31	0	0	15	16
1	OH	34	0	0	34	0
7	MQ	-10				
8	WN	-10				
5	WN	-6				
5	WN	-16				
8	UA	144	144	0	0	0
5	WN	-10				
11	OO	-10				
9	OO	7				
5	OO	37	0	0	0	37
6	WN	37	0	0	0	37
12	WN	37	35	0	2	0
9	WN	-10				
6	WN	66	0	0	0	66
2	DL	-11				
10	UA	-15				
5	OO	-24				
12	WN	0				
3	OO	-11				
3	AA	19	0	0	19	0
9	WN	-8				
7	NK	205	205	0	0	0
5	DL	-9				
9	DL	-5				
9	DL	11				
5	AA	1				
8	AA	-11				
1	OO	110	0	0	0	110
9	WN	9				
7	WN	7				
4	9E	-16				
7	WN	-19				
3	9E	0				
5	OO	-9				
10	WN	-14				
1	AS	9				
4	WN	-14				
5	WN	17	0	0	0	17
2	OO	-22				
9	F9	10				
11	DL	-7				
8	WN	-7				
7	WN	7				
6	OH	14				
10	UA	-17				
10	UA	-12				
12	OH	17	0	0	17	0
1	DL	-18				
2	WN	8				
11	DL	-13				
9	AA	6				
6	UA	-15				
2	DL	-13				
2	AA	-8				
7	AA	-13				
4	WN	-9				
7	DL	-10				
4	B6	-17				
11	WN	11				
7	OO	-23				
9	DL	-12				
1	WN	9				
8	AA	3				
9	NK	43	0	11	32	0
12	DL	-14				
2	AS	-34				
2	G4	-8				
7	UA	-5				
12	DL	-11				
7	9E	-9				
6	MQ	-8				
1	DL	-36				
9	DL	-19				
4	OO	-30				
3	WN	-1				
9	AA	-12				
5	UA	60	60	0	0	0
11	OO	-13				
7	NK	1				
5	WN	-8				
3	B6	107	0	0	18	89
3	9E	2				
9	WN	-12				
9	MQ	25	23	0	0	2
2	DL	-16				
2	UA	20	20	0	0	0
6	UA	13				
2	AA	-3				
3	G4	87	70	0	17	0
4	WN	-8				
1	DL	14				
9	UA	528	0	506	22	0
1	AA	-2				
6	DL	-15				
3	WN	-16				
4	WN	4				
11	WN	5				
5	F9	-13				
1	DL	24	9	0	0	15
9	AA	-18				
10	AA	-8				
9	F9	9				
8	OO	15	15	0	0	0
7	AS	12				
7	OO	-16				
9	NK	-10				
8	B6	21	9	0	12	0
1	WN	-23				
10	DL	2				
3	OO	15	15	0	0	0
6	UA	-29				
11	9E	-5				
6	OH	-7				
7	DL	2				
12	B6	-28				
6	AA	9				
4	AA	-13				
10	WN	-8				
7	B6	-8				
4	DL	3				
6	WN	23	0	0	8	15
5	B6	34	31	0	3	0
3	DL	91	26	0	0	65
7	UA	13				
11	OH	-29				
1	WN	-33				
2	9E	-26				
5	OO	-26				
8	NK	-49				
9	WN	2				
9	UA	-34				
11	AA	5				
7	DL	-24				
3	WN	0				
7	WN	71	71	0	0	0
2	DL	-40				
10	AA	-10				
6	NK	87	9	0	15	63
7	WN	2				
10	MQ	-5				
10	OH	-18				
6	WN	27	0	0	0	27
7	WN	201	0	0	0	201
5	WN	-8				
5	MQ	-11				
12	WN	6				
4	OO	6				
6	WN	2				
10	DL	-13				
4	DL	12				
11	WN	-12				
2	UA	26	11	0	13	2
5	DL	0				
10	UA	-12				
1	DL	-24				
2	UA	-6				
8	AS	-6				
6	WN	-9				
11	G4	-18				
6	AA	-9				
3	YX	-29				
3	DL	-5				
12	NK	4				
12	UA	-6				
10	OO	-1				
6	WN	41	10	0	0	31
3	OO	-2				
3	AA	1				
9	WN	13				
